SSID,BSSID,RSSI,Auth,Channel,Label
Linksys_1834,fd:66:c0:7a:2e:17,-48,WPA3,13,real
FreeWiFi_9808,5f:c6:55:9a:c1:00,-36,Open,2,fake
McDonalds-ndso#,cf:f1:fd:9d:94:1c,-31,WPA2,4,fake
NET-2608,c5:88:cd:e3:07:63,-47,WEP,4,real
Campus-9299,60:c5:7a:85:f5:03,-37,WPA2-Enterprise,2,real
TPLink-8863,00:e7:ca:57:cf:fe,-55,Open,7,real
Dorm_6413,a6:45:cf:65:d7:37,-73,Open,5,real
Mall1499 Network,1b:6e:b6:6b:28:fa,-32,WPA2-Enterprise,2,fake
Shop_Free_8814,2d:f5:ee:4d:3c:e1,-43,WPA2,12,fake
Home_1315,38:c1:25:db:6c:28,-85,WPA2-Enterprise,5,real
Smith-3408,4e:c2:d9:ed:db:e7,-48,WPA3,11,real
Home-4903,6b:4d:0d:18:41:f0,-38,WPA3,11,real
Apartment-4000,a9:59:6e:94:89:ee,-44,WEP,8,real
MyWiFi_WiFi_6805,f9:7f:59:96:89:f7,-59,WPA3,5,fake
McDonaldsGuest3059,8b:d4:25:cf:f1:f4,-81,WEP,11,fake
Free2245,b8:b1:dd:ec:82:4c,-80,WPA2,8,fake
TPLink-4205,9f:f3:8d:db:f4:41,-84,WPA2-Enterprise,4,real
Network-Network9906,bd:66:ce:39:48:a9,-69,WPA3,4,fake
Linksys-8685,63:35:90:1b:b5:d9,-68,WPA2-Enterprise,4,real
Campus8812 Hotspot,bc:e9:2e:77:aa:79,-83,WPA2-Enterprise,1,fake
Secure_BT6556,98:67:53:93:c7:e7,-57,WPA3,3,fake
Tower_4089,69:d1:13:19:e7:49,-53,Open,8,real
TPLinkGuest5905,27:ea:26:c1:ed:73,-71,WPA2-Enterprise,12,fake
MyAP_9223,ee:d8:2d:02:d0:40,-83,WPA2-Enterprise,4,real
Campus_7859,2b:ff:b8:05:d8:0a,-53,WPA3,9,real
_Guest_Lobby4821.,2f:c1:ba:87:67:71,-35,WPA2,3,fake
lobbyguest6380,21:4d:e1:eb:9b:7e,-50,WPA2,10,fake
BT5552,1d:15:4f:1f:8d:f9,-35,WEP,5,fake
Home_1227,f4:1e:bd:82:49:dd,-38,WPA2,13,real
Residence-7911,f1:0d:e8:9a:43:5d,-37,Open,5,real
TPLink3128 Network,9a:d6:43:59:85:1f,-45,WEP,3,fake
FreeWiFi_9611#,c2:d1:68:9a:2b:20,-60,WPA2,9,fake
FreeWiFi_9977,08:aa:91:40:98:92,-49,WPA2-Enterprise,9,fake
vodafone_free_186,f8:d7:a7:2f:a7:f3,-41,Open,1,fake
Linda_5883,5f:84:53:c3:af:00,-34,WEP,3,real
GuestNet173,e2:95:16:eb:66:91,-71,WPA2,4,fake
NET-8741,26:d8:60:9d:24:35,-90,WPA2-Enterprise,8,real
NET_8672,ee:6b:36:67:51:16,-45,WPA2,4,real
John_8079,00:5f:1f:ba:8c:70,-39,WPA2,9,real
Starbucks8997 Shop,46:31:b0:79:a6:6d,-86,WPA3,8,fake
Campus_7926,cf:79:82:cb:ad:a9,-74,WPA3,12,real
FreeWiFi_3839,5b:1b:4d:d9:3a:15,-87,WPA3,4,fake
_Guest_McDonalds8150,76:05:ee:53:d4:ce,-72,Open,2,fake
Anderson_5564,45:00:e3:ed:ff:95,-72,WPA2-Enterprise,1,real
Office-6906,81:e5:3e:b6:2f:08,-69,WPA2-Enterprise,6,real
Tower-2216,ed:6b:1d:0d:92:bd,-58,WPA2,13,real
John-5238,5a:95:4c:48:5a:3b,-82,WPA2-Enterprise,8,real
Guest1663,2c:b5:a7:e3:90:41,-31,WPA3,7,fake
Campus-4791,c8:d5:2d:56:02:18,-83,Open,9,real
NET_9969,34:c3:85:f7:2b:3f,-71,WEP,3,real
Anderson_4519,9d:3b:85:27:b7:8f,-54,WPA2-Enterprise,1,real
NETGEAR3275 Shop,3d:5a:85:25:f7:16,-85,WEP,4,fake
Tower-4290,4c:4b:1c:30:7a:40,-52,WPA2-Enterprise,2,real
Campus-941,04:2d:db:94:b4:48,-87,WEP,3,real
NET-1436,49:3e:d6:4f:5f:d3,-52,WPA2-Enterprise,10,real
TPLinkGuest3623,7b:30:ba:45:f6:2f,-61,WPA2,12,fake
Airport WiFi 5585,93:94:38:56:a7:11,-44,Open,1,fake
bt_guest,58:75:20:da:b9:0d,-39,WPA3,1,fake
Linksys7398,63:0b:b0:d1:67:26,-30,WPA2-Enterprise,6,fake
MyAP_2992,64:50:d0:a2:96:5c,-62,WEP,9,real
Tower-7823,ac:af:2a:e9:05:26,-33,WPA3,8,real
FreeWiFi_8454,4a:d7:3e:e7:e9:9a,-48,WEP,3,fake
Linksys-4366,c8:76:53:5d:02:06,-56,WPA3,4,real
Lobby-Lobby1801,26:26:e0:6e:60:71,-50,WPA2,8,fake
McDonaldsGuest9356.,cc:2c:b1:31:3e:93,-89,WPA2,3,fake
BT_Free_7926,09:3c:70:4d:92:1e,-75,WPA3,13,fake
Linda-6903,e1:7e:91:bd:ec:21,-56,WPA3,2,real
McDonaldsGuest9542,a8:82:24:14:45:37,-84,Open,8,fake
Network7187,d6:ea:d3:67:63:13,-45,WEP,13,fake
cafe5144,34:bf:53:54:de:7a,-63,Open,3,fake
Guest-2418,16:5a:53:02:ab:83,-34,WPA3,5,fake
Hotel WiFi 7572#,88:76:a3:83:8f:85,-83,WEP,5,fake
Xfinity541,99:44:26:e6:70:33,-65,Open,6,fake
Campus_4823,04:39:4d:6f:49:45,-44,WEP,4,real
Starbucks_Free_694,0b:44:74:52:fd:61,-30,WPA2,2,fake
Linksys_667,de:96:ad:4c:54:da,-32,WPA2-Enterprise,12,real
Tower-8604,ec:62:b2:d1:76:b6,-50,WEP,10,real
XfinityGuest8889,68:c5:b6:18:74:b9,-52,WPA2,5,fake
Free5182,a2:9c:47:0e:5a:64,-68,WPA2,11,fake
FreeWiFi_5241,3d:63:3f:b3:0f:af,-86,WPA2-Enterprise,6,fake
Apartment_2969,08:dd:a7:9c:4f:2f,-37,WPA2-Enterprise,4,real
hotel_wifi_6788,90:05:21:a7:ef:51,-30,WEP,8,fake
Linksys6801,a9:79:6d:59:83:ff,-81,WPA2-Enterprise,13,fake
John_7901,03:e1:c8:3c:ab:4e,-58,WPA2-Enterprise,6,real
Smith_4095,6b:15:96:14:d1:1b,-87,WEP,8,real
GuestNet-GuestNet1413#,63:6e:f1:30:25:ea,-55,Open,6,fake
shop guest,a2:19:78:85:7e:8d,-31,WPA2-Enterprise,8,fake
Campus_WiFi_1347,a6:e9:97:c4:2c:48,-69,WPA2-Enterprise,3,fake
NETGEAR9312 Secure,e3:a8:7c:dc:02:00,-62,Open,4,fake
Dorm_2228,53:10:39:78:76:3f,-83,WPA2-Enterprise,1,real
WiFi-WiFi5350,58:d1:fb:a9:fa:13,-78,WPA3,9,fake
NET-7676,e5:2e:35:e4:76:dc,-35,WPA3,8,real
Secure_TPLink9229,11:b9:0e:b4:e3:e0,-72,WPA2,6,fake
free-free,d2:7c:7f:af:c5:ba,-33,WEP,2,fake
Library3264 Shop,db:62:89:6c:86:af,-46,WEP,10,fake
Linda-3341,c7:4b:ce:d7:ef:fa,-72,WEP,5,real
ApartmentWiFi,35:50:b1:b8:94:09,-90,WPA2-Enterprise,13,real
Airport9437 Guest,a6:00:d9:e1:c6:f7,-33,WPA3,3,fake
TPLink2916,fd:89:0f:3b:3f:27,-71,WPA2,9,fake
Linda_9849,b9:83:e8:d0:46:6c,-50,Open,9,real
shop-shop,bb:3c:8d:c1:df:f1,-87,WEP,6,fake
Smith_3522,0c:8a:12:d1:2f:3d,-43,WPA2,3,real
Office2207,d7:df:63:af:cc:20,-76,WPA2-Enterprise,1,fake
Apartment_7854,9c:95:01:f9:8d:8e,-70,WPA2,13,real
Residence-2362,a6:5f:33:95:c9:34,-31,WEP,6,real
CafeGuest4171,7a:96:9a:60:3a:01,-56,WPA2-Enterprise,3,fake
Anderson_3901,f0:27:89:51:b5:bb,-40,WPA2,10,real
Home-7099,fc:5b:2c:91:6d:ce,-65,WPA2,5,real
Home_9766,76:14:08:96:7c:3a,-75,Open,12,real
Secure-Secure7667,6a:e5:97:e8:e1:29,-55,WEP,10,fake
BT-5945,4b:47:2e:0a:70:11,-56,WPA2,6,fake
John-1951,c7:9d:22:1e:6f:08,-70,Open,5,real
Office_6170,18:de:34:de:58:bc,-86,WPA3,11,real
TPLink-8495,ef:d9:ba:5c:3d:42,-35,WPA2,3,real
GuestGuest7874,87:e7:d5:1d:b3:e4,-75,WPA2-Enterprise,4,fake
Apartment_8965,10:8c:4b:ea:de:14,-90,WPA3,10,real
Residence-966,06:77:84:b4:fe:b1,-32,WPA3,3,real
Office_Starbucks6480,39:78:4e:e6:9b:36,-73,WPA2-Enterprise,5,fake
xfinity_wifi_1111!,ec:08:8d:d3:a8:ec,-59,WEP,2,fake
Fake_Router_Test,68:44:86:43:b6:f8,-89,WPA2-Enterprise,9,fake
CampusGuest7472,22:41:3e:17:01:33,-45,WEP,6,fake
Guest6168,bd:0f:fa:5f:8b:45,-72,WPA2,6,fake
John_6739,57:e9:6b:61:01:67,-58,WEP,13,real
hotspot-hotspot44,a7:df:9f:fd:d8:18,-43,WEP,13,fake
Apartment-1261,ce:70:d9:9a:0b:2d,-89,WPA2,6,real
GuestNet4761,6a:1a:f2:7e:76:f0,-80,Open,10,fake
Lobby_McDonalds875,29:c8:63:f8:78:76,-72,Open,6,fake
Campus-7401,bd:5f:a4:09:e0:27,-76,WPA2,10,real
Hotspot_Vodafone3211#,a8:6a:a8:b9:64:f4,-79,WEP,2,fake
McDonalds7228 Public.,a4:8d:6e:25:d9:0e,-32,WEP,10,fake
FreeWiFi 741,9a:71:2b:69:0c:00,-42,Open,2,fake
Guest_WiFi_8325,f6:26:c0:0d:1c:7f,-47,WPA3,4,fake
FreeWiFi_8633,0e:45:9d:13:84:f6,-67,Open,2,fake
LibraryGuest6540,17:f0:01:94:e4:01,-90,WPA2-Enterprise,13,fake
Linksys_WiFi_5987,6a:12:08:03:fb:b0,-80,WPA3,5,fake
NET-6053,f4:4e:23:9a:5f:3d,-73,Open,13,real
Tower-2334,be:4e:c5:23:72:e6,-65,Open,6,real
wifi_airport7358,f8:12:e4:d9:d7:f7,-46,WEP,5,fake
Apartment_7010,20:56:6f:f8:c1:cd,-34,Open,6,real
 Guest TPLink6871.,15:7a:1b:2c:2f:45,-68,Open,1,fake
Campus_6053,7a:1f:b3:78:58:38,-72,WPA2,9,real
FreeWiFi_6574.,4f:30:d7:5d:d4:a9,-65,WEP,11,fake
GuestNet Cafe5307#,c3:b1:90:c3:91:d1,-87,WEP,12,fake
John-868,7d:13:65:fb:d7:d5,-88,WPA2,1,real
Apartment-7998,dd:82:27:c6:82:f6,-69,Open,3,real
Home2743,ec:41:94:bc:8f:b1,-45,WPA2-Enterprise,8,fake
MyWiFi5475,34:85:41:25:12:82,-85,WPA3,1,fake
Office8049,dd:5c:a0:a0:4b:33,-30,WEP,6,fake
hotspot_mcdonalds7275,1b:c3:35:c5:50:0a,-62,Open,12,fake
Linksys-8799,47:71:0b:7e:9e:6f,-87,WPA2-Enterprise,2,real
Shop-6543,e6:54:88:26:91:3a,-75,WPA2-Enterprise,4,fake
free8237 hotspot,5c:c9:cb:f4:e3:95,-72,WPA2,12,fake
linksys-6756,7f:98:bd:ab:a9:9e,-69,Open,11,fake
Mall-4848,80:1d:8d:dc:bb:ba,-56,WEP,10,fake
home_bt9916!,4e:f3:51:a1:15:0b,-32,WPA3,10,fake
Office_99,26:a4:04:de:25:73,-89,WPA2-Enterprise,2,real
Campus-4583,0e:df:71:f4:f9:3b,-75,WEP,7,real
Shop1913,40:5e:df:3f:21:a4,-57,Open,13,fake
TPLink9998 Network.,d4:83:79:45:ea:11,-44,WPA2-Enterprise,11,fake
Free_WiFi_5518,11:59:25:44:72:84,-54,WPA2,8,fake
BT9744 Hotspot,54:96:02:be:80:4c,-60,WEP,9,fake
Shop3520 WiFi,0a:be:0a:80:6d:49,-55,WPA2,11,fake
TPLink6547 Hotspot#,f2:98:bc:86:7d:59,-65,WPA2-Enterprise,1,fake
Office-Office8044,bb:2e:c3:f4:7d:62,-30,WEP,13,fake
Public8810,26:9a:a5:93:34:d1,-73,WPA2-Enterprise,2,fake
Building_817,3a:30:6f:64:e6:d3,-57,WPA3,7,real
John_2397,79:e0:7c:10:2e:d8,-62,WPA2-Enterprise,13,real
John-5G,d3:1b:1f:49:31:f4,-65,WPA2-Enterprise,10,real
campus-6448,92:1e:34:33:63:c4,-45,WPA3,11,fake
GuestNet-GuestNet9106,a1:56:28:99:ed:05,-84,WPA2,8,fake
Linda_9588,89:ab:5f:77:07:65,-61,WEP,2,real
Lobby3312,13:a8:b0:00:24:b4,-35,WPA2-Enterprise,12,fake
freewifi 3996_,d9:f7:e4:a9:a4:fe,-82,WPA3,6,fake
NET-2911,86:98:2d:7a:7e:a3,-36,WPA3,5,real
Dorm-1569,bf:52:39:b5:24:5b,-64,WPA2,13,real
Linksys-7082,a2:de:8c:7a:fe:e6,-60,WPA2,12,real
Dorm-9841,4e:3e:3c:ee:2a:5c,-58,WPA3,3,real
Dorm_3189,bf:4f:4c:a3:be:80,-80,WPA2,11,real
linksys2781 free,0f:bd:fa:59:74:31,-84,Open,10,fake
MyAP_2480,fa:07:3e:75:17:85,-60,WPA3,10,real
office_vodafone3115,6e:f6:01:ac:91:7a,-44,WPA3,6,fake
NET-8936,7b:30:06:9d:13:77,-51,WEP,1,real
Residence_7379,39:a2:b9:26:11:d4,-74,WPA2,4,real
MyAP-3310,36:dc:65:96:b2:9a,-41,WPA2-Enterprise,7,real
Residence_1045,2f:5a:51:e2:ca:de,-80,WPA3,1,real
Home-7065,63:8b:19:a0:1b:df,-76,WPA2-Enterprise,5,real
Anderson-6564,72:7c:8c:01:d5:e8,-87,WPA2,8,real
Office-6941-,b7:9a:71:5a:b2:91,-56,WPA2-Enterprise,8,fake
Shop3696 Hotspot,a6:a7:09:c2:5c:d0,-55,WPA2-Enterprise,7,fake
NETGEAR968,55:ae:e1:f7:bb:2d,-38,WPA2,9,fake
Shop-288,e8:1e:d6:0a:5c:fa,-54,Open,4,fake
Dorm-9230,cc:b5:80:c2:6e:c1,-45,WPA2-Enterprise,8,real
TPLink-6690,e5:65:42:85:d6:09,-79,WPA3,12,fake
TPLink_Free_5485,93:f4:bf:7a:c5:fc,-80,WEP,6,fake
Tower_1539,62:88:9c:25:8e:0b,-49,WPA2-Enterprise,10,real
Residence_4182,be:8c:73:1d:4f:d0,-67,WPA3,9,real
TPLink-5905,78:d3:f8:d0:e2:91,-90,WPA2-Enterprise,1,real
Apartment-8410,65:33:0a:8b:55:76,-85,WPA2,12,real
NET-2877,c8:22:72:1a:08:39,-43,WPA2-Enterprise,11,real
Office-4918,37:8b:55:be:09:2c,-75,WPA2-Enterprise,7,real
vodafone-7865,99:0a:57:b8:77:95,-33,Open,11,fake
Secure-Secure4347,b9:22:6c:52:be:c1,-73,WPA3,9,fake
Shop-oS.,48:ea:d0:b4:37:d5,-78,WPA3,4,fake
Vodafone3508,0c:e7:13:c7:95:1d,-87,WEP,2,fake
library_free_9164,0e:73:b2:f6:ae:09,-39,WPA2-Enterprise,8,fake
cafe-ca,1e:f8:dd:c0:6c:d6,-48,WPA3,10,fake
Lobby_WiFi_3494,15:8c:82:e2:43:77,-55,WPA2-Enterprise,1,fake
Cafe-Cafe8929,1c:3c:39:c8:0b:71,-85,WPA2-Enterprise,5,fake
Library9988,6a:ec:9f:25:0a:ae,-46,Open,6,fake
BT Free 3400,13:ea:8d:fa:36:b9,-37,WEP,9,fake
Linksys_Guest,2c:1c:c3:af:35:18,-39,WPA2-Enterprise,2,fake
Library8010 Guest,a9:93:c1:93:aa:9e,-60,WPA3,4,fake
Linksys-5372,43:59:ef:04:7d:1d,-51,Open,10,real
TPLink-615,f0:cc:fa:9b:36:6e,-83,WPA2-Enterprise,11,real
Hotspot_Xfinity8822,be:db:10:d0:cf:2b,-88,WPA2-Enterprise,11,fake
Vodafone1586,73:bc:8c:05:a5:4a,-88,WPA3,9,fake
mywifi_free_5233,f8:ec:dd:7e:95:23,-75,WPA3,5,fake
TPLink_9086,55:24:40:5a:70:b2,-58,WPA2,11,real
Linksys_7813,ba:73:d5:6f:03:eb,-52,WPA2,5,real
Anderson-7429,fe:1b:c9:a2:99:f9,-71,WPA2,7,real
Office_WiFi_8042,ba:6c:40:aa:67:72,-76,WPA2-Enterprise,7,fake
Linda-8534,c8:bf:7b:ef:6d:5c,-63,WEP,12,real
Anderson_5681,41:21:db:5d:61:6d,-73,WPA2-Enterprise,1,real
Lobby-Lobby3096,73:1a:50:e7:1c:2e,-57,WPA3,1,fake
Guest5858,75:fa:2b:20:24:bd,-51,WEP,7,fake
CafeGuest9556.,16:39:c6:e8:c1:6e,-34,WEP,3,fake
guestnet9036,a6:ff:8b:b9:99:80,-79,WPA2-Enterprise,1,fake
ShopGuest5260,38:31:72:7f:ca:1f,-76,WPA2,5,fake
mcdonalds_guest-,ea:d5:cc:8c:1d:62,-85,WPA2-Enterprise,9,fake
Residence_992,bd:d2:4f:de:af:7e,-62,Open,8,real
MyAP_4876,c0:f6:6d:46:a8:19,-77,WPA3,9,real
Lobby-Lobby9760,4a:0c:2c:a6:7d:59,-60,WPA2-Enterprise,5,fake
shop-5175,8c:cb:5e:d1:72:cc,-31,WPA2-Enterprise,10,fake
WiFi_BT1278,df:f7:d1:d4:ab:21,-76,WPA2,10,fake
TPLink_815,cd:f5:c4:89:53:d7,-45,Open,2,real
Linda-6373,ad:75:08:29:52:b5,-37,WPA2,11,real
Hotspot-Hotspot9308,e7:03:a9:e8:c2:8e,-77,WPA2,7,fake
John_470,2b:e7:63:f3:fa:62,-77,WPA2-Enterprise,1,real
Campus_8676,a7:f0:6d:b2:84:00,-57,WEP,1,real
Home Library2753,86:1b:d8:b0:21:d2,-33,WEP,12,fake
Office_Free_6557,3d:4a:9a:b5:70:b9,-65,WPA3,2,fake
NET_5212,71:7a:38:18:0d:42,-79,Open,9,real
John-6801,3d:a3:f0:61:37:5c,-90,WPA3,4,real
Campus-4819,23:5e:08:75:3b:b3,-33,WPA3,12,real
John_9063,a3:f3:e8:0e:aa:7c,-35,WPA2,13,real
Dorm-3095,19:66:38:db:a9:9a,-80,WPA3,10,real
mall2283 office,0e:50:6b:ad:54:0f,-34,WPA2,11,fake
Office-ifO.,53:9a:17:03:05:6b,-39,Open,8,fake
xfinity1075,9a:bb:d7:a7:d3:8a,-65,WPA2,1,fake
NETGEAR Free 5110.,8f:d0:47:fa:78:87,-46,WPA2,12,fake
Office-771,6f:a8:96:d1:32:50,-71,WPA2-Enterprise,6,real
public-public5629_,e6:13:f4:71:99:26,-76,WPA2,6,fake
Office-Office3358,89:52:f9:d7:58:07,-37,WEP,13,fake
Lobby9843,bc:98:f6:fa:9c:c4,-56,WPA2-Enterprise,12,fake
Home4422#,33:cd:ce:95:3a:80,-52,WPA2-Enterprise,11,fake
Free8326,c1:74:cd:0b:f8:d1,-60,WEP,3,fake
Tower_4317,3e:52:a3:00:0c:61,-57,WPA2,1,real
Lobby6887,65:b2:7b:10:b5:9b,-46,Open,5,fake
BT8433,a7:f1:c4:20:f1:d1,-47,WPA3,9,fake
Office-5947,9d:db:e1:32:e8:c0,-30,Open,6,real
Apartment_1678,9b:c5:30:56:bc:ae,-63,WPA3,9,real
linksys8952 lobby,c2:f2:f5:05:9d:ce,-89,Open,4,fake
Hotspot8820,f7:33:a1:62:4d:7c,-63,WPA2,6,fake
FreeWiFi_6223,0c:ab:cf:10:dc:d3,-73,WPA3,7,fake
Cafe9381,b4:21:ef:68:3f:d8,-73,WPA2,5,fake
guest-guest9026,81:74:b8:c8:55:cc,-32,Open,2,fake
Campus_Free_1181,99:ec:d6:9d:b5:b8,-48,WPA2-Enterprise,8,fake
Guest_WiFi_129,22:ce:82:e3:cc:fc,-47,Open,9,fake
Office-8642,ac:09:fb:13:d8:93,-69,Open,9,real
Tower_5443,60:49:78:14:41:94,-90,WPA3,1,real
Office_1039,30:e2:d4:14:e5:ef,-84,WPA2-Enterprise,10,real
Building_6745,6a:96:20:31:f9:25,-43,WEP,8,real
Linksys_4971,82:a3:79:1e:78:15,-87,WPA3,3,real
Home_6231,86:44:44:24:46:14,-52,WPA3,1,real
Office_3050,91:69:6d:7a:0c:4b,-64,Open,10,real
freewifi_7708#,97:d9:1e:58:df:f3,-79,Open,2,fake
TPLink-603,ce:2d:c0:0f:4d:22,-71,WPA2-Enterprise,6,real
Apartment-9620,ea:43:4d:40:d7:a3,-56,WPA2-Enterprise,2,real
Residence_5946,ff:a1:8b:58:60:9a,-63,Open,9,real
Linksys_6206,1c:ce:bc:22:1e:c0,-39,Open,6,real
Dorm-5093,c7:2c:49:f1:1b:be,-41,WPA3,8,real
vodafone9209 shop,fa:17:5c:92:49:10,-71,WPA2,9,fake
Building-364,af:db:fa:ad:11:68,-44,WPA2-Enterprise,2,real
TPLink-6647,c5:dc:a7:8b:85:b9,-70,WPA2,2,real
Network-Network4821,0b:32:ab:d5:68:0d,-55,Open,7,fake
Anderson-6198,6b:71:c8:f7:95:78,-30,WPA2-Enterprise,1,real
Network-Network3331,42:8e:f4:07:d6:8c,-35,WPA3,13,fake
Hotel8945,0d:3e:87:c6:f1:a4,-80,WPA3,7,fake
Residence-2067,72:42:a7:5b:d7:b2,-59,WPA2-Enterprise,4,real
John_1006,9d:8d:4b:db:ad:8b,-69,WPA2,4,real
TPLink1967,c8:fc:3e:ab:69:ab,-54,Open,4,fake
Hotel800,47:1a:a5:d6:02:60,-33,WPA3,3,fake
Hotspot_Shop4985.,0f:a4:07:ea:a8:37,-62,WPA3,13,fake
GuestNet6492,10:38:0c:54:e3:6c,-45,WPA2-Enterprise,7,fake
Guest4669 Cafe,dc:7a:79:24:38:3a,-42,WPA2-Enterprise,13,fake
Lobby_WiFi_1964,f3:6d:0c:42:3d:f7,-50,WPA2-Enterprise,10,fake
Dorm-1159,95:98:18:c3:fd:e7,-65,Open,5,real
Lobby-Lobby7738#,5a:c7:e2:83:dc:cf,-58,WPA2-Enterprise,1,fake
Guest_WiFi_1055,95:c9:1d:00:57:de,-40,WPA3,3,fake
FreeWiFi 2019,9f:cb:53:7c:b9:2b,-85,WPA2-Enterprise,1,fake
Home_5576,15:2d:b2:26:75:45,-55,WPA2,6,real
 guest4826,b9:f3:41:21:50:36,-54,WPA3,10,fake
cafe_wifi_1137#,6e:18:04:cb:8e:b4,-32,Open,13,fake
Campus1727,20:bd:05:ef:ce:6e,-83,WPA3,11,fake
Apartment_5624,44:da:f8:06:19:2b,-76,WPA2-Enterprise,3,real
Free187,2a:d1:00:13:d7:de,-68,WPA2,8,fake
free office599,18:1e:af:71:ad:6c,-39,WPA2-Enterprise,8,fake
free7915,92:67:28:01:58:e2,-90,WPA2,12,fake
Free2927#,36:c5:f2:04:c7:8c,-88,Open,1,fake
NET_3244,d2:2c:51:d4:79:62,-87,WPA3,6,real
Library919.,87:bc:5a:de:1b:5f,-36,WPA2-Enterprise,9,fake
Office4541 Guest,61:b4:45:06:67:cd,-30,Open,11,fake
Mall Free 3337,ee:af:9a:37:41:5d,-83,WPA2,5,fake
Residence_9681,b5:3d:6e:97:95:b8,-44,Open,4,real
MyWiFi-iMy-,98:c9:ee:e1:da:2b,-85,WPA2,9,fake
Linksys_WiFi_8964,43:f1:ce:4b:a2:c8,-70,WPA2,6,fake
Anderson_1699,be:5d:14:2e:24:20,-58,WPA2-Enterprise,3,real
TPLink WiFi 9978,86:91:1d:90:7b:9b,-69,Open,3,fake
Apartment_8153,fb:45:6f:b9:b2:ce,-84,WPA2,12,real
Tower_447,de:03:95:aa:d0:80,-54,WPA2-Enterprise,7,real
Free_Lobby9531,e6:e9:48:b8:30:ee,-74,WPA2,1,fake
NET-3261,df:28:46:54:93:e4,-54,WPA3,2,real
TPLink_4934,c3:93:c9:a8:aa:36,-53,WPA3,13,real
Residence-5679,49:3c:f7:a0:9e:c8,-58,WPA2-Enterprise,1,real
