bssid,recordDate,latitude,longitude,accuracy,signalStrength,ssid,securityType,channel,frequency,capabilities,totalSurveys,inconsistentLocation
e4:75:dc:0a:19:49,1679085588970,52.2511583333333,-2.882926667,8.60000038146973,-71,BT-NJAKHX,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],28,0
6a:75:dc:0a:19:4a,1679085588970,52.2511583333333,-2.882926667,8.60000038146973,-72,BTWi-fi,OPEN,0,2462,[ESS],35,0
48:a4:72:5a:e3:53,1679085609333,52.250735,-2.88316,2.29999995231628,-78,LR086458,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],0,0
da:7d:7f:f0:b5:99,1679085644730,52.25018,-2.885071667,2.5,-91,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],5,0
da:7d:7f:f0:b5:98,1679085644730,52.25018,-2.885071667,2.5,-90,BTWi-fi,OPEN,2,5180,[ESS],5,0
d8:7d:7f:f0:b4:9b,1679085644731,52.25018,-2.885071667,2.5,-91,BTHub6-895S,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],5,0
26:20:c7:7b:38:ff,1679085675217,52.2501966666667,-2.88743,2.29999995231628,-78,BTWi-fi,OPEN,0,2437,[ESS],4,0
26:20:c7:7b:37:fd,1679085675218,52.2501966666667,-2.88743,2.29999995231628,-91,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],4,0
26:20:c7:7b:37:fc,1679085675217,52.2501966666667,-2.88743,2.29999995231628,-91,BTWi-fi,OPEN,2,5180,[ESS],3,0
24:20:c7:7b:36:ff,1679085675218,52.2501966666667,-2.88743,2.29999995231628,-91,BTHub6-SWFG,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
50:70:43:78:87:d5,1679085680296,52.2501966666667,-2.88743,2.29999995231628,-87,SKY1HMXJ,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
62:6c:9a:7a:c1:7a,1679085680296,52.2501966666667,-2.88743,2.29999995231628,-89,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],1,0
ec:6c:9a:7a:c1:78,1679085680297,52.2501966666667,-2.88743,2.29999995231628,-90,BT-F8AKHW,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
20:47:ed:b7:0e:4e,1679085680296,52.2501966666667,-2.88743,2.29999995231628,-89,SKYSVRFZ,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
42:b4:cd:40:a0:39,1679085680296,52.2501966666667,-2.88743,2.29999995231628,-89,,WPA2,1,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
62:6c:9a:7a:c1:79,1679085680297,52.2501966666667,-2.88743,2.29999995231628,-90,BTWi-fi,OPEN,2,5180,[ESS],1,0
62:86:20:8e:1c:19,1679085685392,52.2501966666667,-2.88743,2.29999995231628,-73,BTWi-fi,OPEN,0,2437,[ESS],1,0
7a:86:20:8e:1c:11,1679085685393,52.2501966666667,-2.88743,2.29999995231628,-87,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],1,0
f0:86:20:8e:1c:17,1679085685394,52.2501966666667,-2.88743,2.29999995231628,-88,BT-QQA6J9,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
7a:86:20:8e:1c:10,1679085685394,52.2501966666667,-2.88743,2.29999995231628,-88,BTWi-fi,OPEN,2,5180,[ESS],1,0
32:24:78:fe:98:21,1679085685393,52.2501966666667,-2.88743,2.29999995231628,-75,BTWi-fi,OPEN,0,2437,[ESS],3,0
ea:ad:a6:e7:7b:ff,1679085685395,52.2501966666667,-2.88743,2.29999995231628,-90,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],1,0
30:24:78:fe:96:20,1679085685392,52.2501966666667,-2.88743,2.29999995231628,-74,BTHub6-PS3C,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
f0:86:20:8e:1c:18,1679085685393,52.2501966666667,-2.88743,2.29999995231628,-74,BT-QQA6J9,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
ea:ad:a6:e7:7b:fe,1679085685394,52.2501966666667,-2.88743,2.29999995231628,-88,BTWi-fi,OPEN,2,5180,[ESS],1,0
30:24:78:fe:96:21,1679085685396,52.2501966666667,-2.88743,2.29999995231628,-90,BTHub6-PS3C,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
7a:86:20:8e:1c:13,1679085685394,52.2501966666667,-2.88743,2.29999995231628,-88,,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],1,0
e8:ad:a6:e7:7a:fd,1679085685395,52.2501966666667,-2.88743,2.29999995231628,-88,BTHub6-N6GM,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
32:24:78:fe:97:22,1679085685396,52.2501966666667,-2.88743,2.29999995231628,-91,BTWi-fi,OPEN,2,5180,[ESS],1,0
32:24:78:fe:97:23,1679085685396,52.2501966666667,-2.88743,2.29999995231628,-93,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],1,0
6a:58:80:00:ce:c6,1679085695494,52.2511633333333,-2.886251667,2.29999995231628,-76,BTWi-fi,OPEN,0,2412,[ESS],16,0
6a:58:80:00:ce:c1,1679085695494,52.2511633333333,-2.886251667,2.29999995231628,-77,,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],7,0
6a:86:60:8e:bd:05,1679085756481,52.2518033333333,-2.885078333,2.09999990463257,-92,,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],3,0
78:dd:12:2a:c2:c7,1679085761521,52.2518033333333,-2.885078333,2.09999990463257,-72,BT-38A258,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],21,0
78:dd:12:2a:c2:c6,1679085761521,52.2518033333333,-2.885078333,2.09999990463257,-79,BT-38A258,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],4,0
1a:82:8c:2f:8d:93,1679085776698,52.2517983333333,-2.88486,7.90000009536743,-84,,WPA2,-1,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2,0
3c:89:94:08:42:d5,1679085868106,52.25133,-2.885906667,13.3000001907349,-73,SKYD4B8D,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],20,0
6a:d4:2e:77:d0:d9,1679085868105,52.25133,-2.885906667,13.3000001907349,-70,,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],802,0
0c:8e:29:55:a8:dc,1679085878370,52.25133,-2.885906667,13.3000001907349,-55,BT-CSAFS3,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],3571,0
7a:e5:32:27:0c:d3,1679091484509,52.2521033333333,-2.890465,10.3000001907349,-37,,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],3314,0
6a:d4:2e:77:d0:de,1679092019584,52.2521066666667,-2.88998,6.19999980926514,-60,BTWi-fi,OPEN,0,2462,[ESS],1633,0
c8:99:b2:11:95:20,1679092019585,52.2521066666667,-2.88998,6.19999980926514,-73,BT-JSC2NZ,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],284,0
cc:d4:2e:77:d0:dd,1679092019584,52.2521066666667,-2.88998,6.19999980926514,-60,BT-CSAFS3,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1610,0
7a:99:b2:11:95:18,1679092019587,52.2521066666667,-2.88998,6.19999980926514,-90,BTWi-fi,OPEN,2,5180,[ESS],14,0
7a:99:b2:11:95:19,1679092019588,52.2521066666667,-2.88998,6.19999980926514,-91,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],10,0
62:99:b2:11:95:21,1679092019584,52.2521066666667,-2.88998,6.19999980926514,-72,BTWi-fi,OPEN,0,2437,[ESS],344,0
c8:99:b2:11:95:1f,1679092019587,52.2521066666667,-2.88998,6.19999980926514,-91,BT-JSC2NZ,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],10,0
3c:89:94:08:42:d2,1679092029779,52.2521066666667,-2.88998,6.19999980926514,-76,SKYD4B8D,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],120,0
0c:f9:c0:6f:eb:96,1679092029779,52.2521066666667,-2.88998,6.19999980926514,-80,SKYD4B8D,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],16,0
0c:f9:c0:88:6b:0e,1679092029780,52.2521066666667,-2.88998,6.19999980926514,-87,SKYD4B8D,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
62:99:b2:11:95:24,1679092029780,52.2521066666667,-2.88998,6.19999980926514,-83,,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],47,0
50:70:43:ad:f7:2d,1679092029781,52.2521066666667,-2.88998,6.19999980926514,-91,SKYHMT9M,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2,0
a0:bd:cd:f5:ec:d2,1679092034918,52.2521066666667,-2.88998,6.19999980926514,-70,SKY1B6PK,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],17,0
18:82:8c:c5:64:aa,1679092050178,52.2520933333333,-2.88995,6.30000019073486,-67,BT-72AJRN,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],30,0
18:82:8c:70:ec:e9,1679092050179,52.2520933333333,-2.88995,6.30000019073486,-70,BT-72AJRN,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7,0
72:82:8c:c5:64:ab,1679092050179,52.2520933333333,-2.88995,6.30000019073486,-70,BTWi-fi,OPEN,0,2412,[ESS],29,0
1a:82:8c:60:ec:e9,1679092050179,52.2520933333333,-2.88995,6.30000019073486,-70,,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],4,0
72:82:8c:c5:64:ae,1679092050180,52.2520933333333,-2.88995,6.30000019073486,-71,,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],10,0
3c:89:94:14:50:ea,1679092050180,52.2520933333333,-2.88995,6.30000019073486,-78,SKYSNMC5,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],20,0
a0:bd:cd:92:c8:72,1679092055278,52.2520933333333,-2.88995,6.30000019073486,-94,SKY24322,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],3,0
bc:30:d9:86:40:f6,1679092156540,52.2509916666667,-2.888311667,6.30000019073486,-87,BTHub6-X63Z,WPA2,2,5240,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7,0
d0:4d:2c:26:c4:65,1679092156541,52.2509916666667,-2.888311667,6.30000019073486,-94,,WPA2,0,5240,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
90:02:18:68:03:5c,1679092166726,52.2509916666667,-2.888311667,6.30000019073486,-88,SKYB65YC,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7,0
48:e1:e9:8c:9a:2f,1679092176885,52.2509816666667,-2.88828,6.40000009536743,-95,Meross_SW_9A2F,OPEN,0,2412,[ESS],1,0
e4:75:dc:e9:88:23,1679092192287,52.2509816666667,-2.88828,6.40000009536743,-58,BT-HGA3Q9,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],49,0
7a:75:dc:e9:88:24,1679092192288,52.2509816666667,-2.88828,6.40000009536743,-58,BTWi-fi,OPEN,0,2412,[ESS],45,0
7a:75:dc:e9:88:27,1679092192288,52.2509816666667,-2.88828,6.40000009536743,-59,,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],18,0
a0:b5:3c:0f:9e:f0,1679092192291,52.2509816666667,-2.88828,6.40000009536743,-86,vodafone0F9EF0,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],5,0
c8:54:4b:8d:a7:bf,1679092197445,52.2509816666667,-2.88828,6.40000009536743,-93,ZyXEL8DA7BE,WPA2,0,2412,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],1,0
9c:31:c3:44:36:f2,1679092207730,52.2509716666667,-2.88824,6.5,-76,SKYB65YC,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],12,0
50:70:43:b2:a3:82,1679092212865,52.2509716666667,-2.88824,6.5,-66,SKYNZWSB,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],26,0
d0:58:fc:94:79:8b,1679092212868,52.2509716666667,-2.88824,6.5,-89,SKYNZWSB,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],3,0
82:d6:d0:79:c7:fd,1679092212868,52.2509716666667,-2.88824,6.5,-83,,WPA2,0,5240,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
62:fe:3b:70:6f:ec,1679092218016,52.2509716666667,-2.88824,6.5,-68,,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],28,0
62:45:b0:18:92:00,1679092218019,52.2509716666667,-2.88824,6.5,-94,,WEP,-1,5745,[WEP][ESS],1,0
62:fe:3b:70:6f:e9,1679092223158,52.2509716666667,-2.88824,6.5,-65,BTWi-fi,OPEN,0,2462,[ESS],68,0
44:fe:3b:70:6f:e8,1679092223158,52.2509716666667,-2.88824,6.5,-65,BT-6RA6HJ,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],71,0
d0:58:fc:c7:14:06,1679092228325,52.2509716666667,-2.88824,6.5,-81,SKYA5359,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],4,0
70:50:af:d9:9a:02,1679092228324,52.2509716666667,-2.88824,6.5,-75,SKYA5359,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],4,0
7a:fe:3b:70:6f:e1,1679092228323,52.2509716666667,-2.88824,6.5,-68,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],41,0
44:fe:3b:70:6f:e7,1679092228323,52.2509716666667,-2.88824,6.5,-68,BT-6RA6HJ,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],39,0
7a:fe:3b:70:6f:e0,1679092228324,52.2509716666667,-2.88824,6.5,-69,BTWi-fi,OPEN,2,5180,[ESS],42,0
0c:f9:c0:7c:26:96,1679092228324,52.2509716666667,-2.88824,6.5,-71,SKYA5359,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7,0
70:50:af:d9:9a:05,1679092228324,52.2509716666667,-2.88824,6.5,-71,SKYA5359,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],4,0
62:97:41:11:42:d1,1679092233491,52.2509616666667,-2.888208333,6.40000009536743,-75,BTWi-fi,OPEN,2,5180,[ESS],5,0
70:97:41:11:42:d0,1679092233492,52.2509616666667,-2.888208333,6.40000009536743,-75,BT-X8CK5R,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],4,0
e8:9f:80:dd:e6:f0,1679092233492,52.2509616666667,-2.888208333,6.40000009536743,-76,Gigaclear_E6ED,WPA2,2,5500,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],29,0
62:97:41:11:42:d2,1679092233491,52.2509616666667,-2.888208333,6.40000009536743,-75,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],5,0
7a:fe:3b:12:f5:08,1679092254000,52.2509616666667,-2.888208333,6.40000009536743,-57,BTWi-fi,OPEN,0,2437,[ESS],79,0
72:fe:3b:12:f5:0f,1679092254000,52.2509616666667,-2.888208333,6.40000009536743,-66,BTWi-fi,OPEN,2,5180,[ESS],27,0
7a:fe:3b:12:f5:0b,1679092254000,52.2509616666667,-2.888208333,6.40000009536743,-57,,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],31,0
44:fe:3b:12:f5:0f,1679092254000,52.2509616666667,-2.888208333,6.40000009536743,-57,BT-J3A6RK,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],76,0
72:fe:3b:12:f5:08,1679092254001,52.2509616666667,-2.888208333,6.40000009536743,-66,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],27,0
44:fe:3b:12:f5:0e,1679092254001,52.2509616666667,-2.888208333,6.40000009536743,-66,BT-J3A6RK,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],26,0
04:81:9b:c7:39:45,1679092269313,52.2509466666667,-2.888188333,6.5,-94,SKY1HMXJ,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0
04:81:9b:c7:39:42,1679092284461,52.2509466666667,-2.888188333,6.5,-92,SKY1HMXJ,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7,0
34:ce:00:18:c3:0e,1679092319745,52.250925,-2.888168333,6.59999990463257,-85,BTHub6-895S_plus,WPA2,0,2412,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],9,0
da:7d:7f:f0:b6:9b,1679092319745,52.250925,-2.888168333,6.59999990463257,-79,BTWi-fi,OPEN,0,2412,[ESS],8,0
38:a6:ce:a1:c1:15,1679092405751,52.2515983333333,-2.888721667,7,-64,SKYHBMRN,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],15,0
92:4d:4a:3b:fa:24,1679092421128,52.2515983333333,-2.888721667,7,-70,BTWi-fi,OPEN,2,5180,[ESS],19,0
92:4d:4a:3b:fa:25,1679092421128,52.2515983333333,-2.888721667,7,-70,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],19,0
90:4d:4a:3b:f9:27,1679092421129,52.2515983333333,-2.888721667,7,-71,BTHub6-W8CR,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],19,0
62:86:20:4a:d7:a4,1679092441645,52.2515983333333,-2.888721667,7,-75,,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],13,0
f0:86:20:4a:d7:a0,1679092446803,52.2515983333333,-2.888721667,7,-71,BT-TJA8KK,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],35,0
7a:86:20:4a:d7:9b,1679092446805,52.2515983333333,-2.888721667,7,-77,,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5,0
90:21:06:53:63:3d,1679092446803,52.2515983333333,-2.888721667,7,-69,SKY01E53,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],17,0
62:86:20:4a:d7:a1,1679092446803,52.2515983333333,-2.888721667,7,-70,BTWi-fi,OPEN,0,2437,[ESS],37,0
7a:86:20:4a:d7:99,1679092446804,52.2515983333333,-2.888721667,7,-77,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],16,0
90:21:06:53:63:3a,1679092446803,52.2515983333333,-2.888721667,7,-65,SKY01E53,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],47,0
f0:86:20:4a:d7:9f,1679092446805,52.2515983333333,-2.888721667,7,-77,BT-TJA8KK,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],8,0
7a:86:20:4a:d7:98,1679092446805,52.2515983333333,-2.888721667,7,-78,BTWi-fi,OPEN,2,5180,[ESS],13,0
7a:fe:3b:81:85:04,1679092462155,52.2513333333333,-2.888511667,6.69999980926514,-65,BTWi-fi,OPEN,0,2462,[ESS],31,0
7a:fe:3b:81:85:07,1679092462155,52.2513333333333,-2.888511667,6.69999980926514,-66,,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],15,0
44:fe:3b:81:85:03,1679092462155,52.2513333333333,-2.888511667,6.69999980926514,-65,BT-7QA2FM,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],28,0
58:90:43:ee:ae:85,1679092472367,52.2513333333333,-2.888511667,6.69999980926514,-78,BTHub6-H5F3-5,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],10,0
5a:90:43:ee:af:86,1679092472367,52.2513333333333,-2.888511667,6.69999980926514,-78,BTWi-fi,OPEN,2,5180,[ESS],10,0
5a:90:43:ee:af:87,1679092472367,52.2513333333333,-2.888511667,6.69999980926514,-78,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],11,0
8e:57:9b:04:eb:11,1679092482482,52.2513333333333,-2.888511667,6.69999980926514,-78,DIRECT-p4-BRAVIA,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2,0
d4:86:60:5c:54:d1,1679092518059,52.251385,-2.888303333,6.90000009536743,-96,BT-QRAGWG,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2,0
d8:ec:5e:85:95:27,1679092528276,52.251385,-2.888303333,6.90000009536743,-83,Airband_859526,WPA2,1,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],6,0
d8:ec:5e:85:95:28,1679092528277,52.251385,-2.888303333,6.90000009536743,-93,Airband_859526,WPA2,2,5240,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],3,0
b2:72:82:82:b8:88,1679092533416,52.251405,-2.888165,7,-67,BTWifi-X,WPA2,0,2437,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],37,0
90:72:82:82:b8:88,1679092533416,52.251405,-2.888165,7,-70,BTHub5-WFZ6,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],32,0
18:82:8c:3b:e7:ec,1679092543683,52.251405,-2.888165,7,-60,BT-3KAG7Z,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],45,0
62:82:8c:3b:e7:ed,1679092543683,52.251405,-2.888165,7,-60,BTWi-fi,OPEN,0,2462,[ESS],52,0
de:ec:5e:d4:c3:e1,1679092548794,52.251405,-2.888165,7,-78,,WPA2,0,2427,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],24,0
18:82:8c:29:5b:d8,1679092559004,52.251405,-2.888165,7,-69,BT-8CAJGN,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],39,0
62:82:8c:29:5b:d9,1679092559004,52.251405,-2.888165,7,-70,BTWi-fi,OPEN,0,2412,[ESS],32,0
7a:82:8c:29:5b:d3,1679092559008,52.251405,-2.888165,7,-85,,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2,0
7a:82:8c:29:5b:d1,1679092559008,52.251405,-2.888165,7,-85,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],10,0
d4:35:1d:21:a8:18,1679092564096,52.251405,-2.888165,7,-76,vodafone21A818,WPA2,0,2442,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],17,0
90:02:18:df:ca:7a,1679092564097,52.251405,-2.888165,7,-86,SKYVFNEF,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],3,0
62:82:8c:29:5b:dc,1679092569256,52.2510616666667,-2.884535,6.90000009536743,-73,,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],14,0
